id	EC_number	hier1	hier2	hier3	name	comment	alter_name
322	2.5.1.17	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	corrinoid adenosyltransferase.	The corrinoid adenosylation pathway comprises three steps: (i) reduction of Co(III) to Co(II) by a one-electron transfer. This can occur non-enzymically in the presence of dihydroflavin nucleotides or reduced flavoproteins. (ii) Co(II) is bound by corrinoid adenosyltransferase, resulting in displacement of the lower axial ligand by an aromatic residue. The reduction potential of the 4-coordinate Co(II) intermediate is raised by ~250 mV compared with the free compound, bringing it to within physiological range. This is followed by a second single-electron transfer from either free dihydroflavins or the reduced flavin cofactor of flavoproteins, resulting in reduction to Co(I). (iii) the Co(I) conducts a nucleophilic attack on the adenosyl moiety of ATP, resulting in transfer of the deoxyadenosyl group and oxidation of the cobalt atom to Co(III) state. Three types of corrinoid adenosyltransferases, not related by sequence, have been described. In the anaerobic bacterium Salmonella enterica they are encoded by the cobA gene (a housekeeping enzyme involved in both adenosylcobalamin de novo biosynthesis and salvage), the pduO gene (involved in (S)-propane-1,2-diol utilization), and the eutT gene (involved in ethanolamine utilization). Since EutT hydrolyzes triphosphate during catalysis, it is classified as a separate enzyme. The mammalian enzyme belongs to the PduO type. The enzyme can act on other corrinoids, such as cob(II)inamide. Formerly EC 1.16.8.1.	aquacob(I)alamin adenosyltransferase. aquocob(I)alamin vitamin B12s adenosyltransferase. ATP:cob(I)alamin Cobeta-adenosyltransferase. ATP:corrinoid adenosyltransferase. cob(I)alamin adenosyltransferase. cob(I)yrinic acid a,c-diamide adenosyltransferase.
323	2.4.2.1	Transferases.	Glycosyltransferases.	Pentosyltransferases.	purine-nucleoside phosphorylase.	Specificity not completely determined. Can also catalyze ribosyltransferase reactions of the type catalyzed by EC 2.4.2.5.	inosine phosphorylase. PNPase.
324	2.1.2.10	Transferases.	Transferring one-carbon groups.	and related transferases.	aminomethyltransferase.	A component, with EC 1.4.4.2 and EC 1.8.1.4, of the glycine cleavage system, formerly known as glycine synthase. The glycine cleavage system is composed of four components that only loosely associate: the P protein (EC 1.4.4.2), the T protein (EC 2.1.2.10), the L protein (EC 1.8.1.4) and the lipoyl-bearing H protein.	glycine-cleavage system T-protein. glycine synthase. tetrahydrofolate aminomethyltransferase.
325	5.2.1.8	Isomerases.	Cis-trans-isomerases.	Cis-trans isomerases.	peptidylprolyl isomerase.	The first type of this enzyme found proved to be the protein cyclophilin, which binds the immunosuppressant cyclosporin A. Other distinct families of the enzyme exist, one being FK-506 binding proteins (FKBP) and another that includes parvulin from Escherichia coli. The three families are structurally unrelated and can be distinguished by being inhibited by cyclosporin A, FK-506 and 5-hydroxy-1,4-naphthoquinone, respectively.	cyclophilin. peptidylprolyl cis-trans isomerase. peptidyl-prolyl cis-trans isomerase. PPIase. rotamase.
326	2.7.1.24	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	dephospho-CoA kinase.		dephosphocoenzyme A kinase.
327	2.6.1.42	Transferases.	Transferring nitrogenous groups.	Transaminases.	branched-chain-amino-acid transaminase.	Also acts on L-isoleucine and L-valine. Different from EC 2.6.1.66.	branched-chain amino acid aminotransferase. transaminase B.
328	1.4.3.5	Oxidoreductases.	Acting on the CH-NH2 group of donors.	With oxygen as acceptor.	pyridoxal 5'-phosphate synthase.	In Escherichia coli, the coenzyme pyridoxal 5'-phosphate is synthesized de novo by a pathway that involves EC 1.2.1.72, EC 1.1.1.290, EC 2.6.1.52, EC 1.1.1.262, EC 2.6.99.2 and EC 1.4.3.5.	PMP oxidase. pyridoxamine 5'-phosphate oxidase. pyridoxamine phosphate oxidase. pyridoxamine-phosphate oxidase. pyridoxine (pyridoxamine) 5'-phosphate oxidase. pyridoxine (pyridoxamine)phosphate oxidase.
329	2.5.1.16	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	spermidine synthase.	The enzymes from the plant Glycine max and from mammalia are highly specific for putrescine as the amine acceptor. The enzymes from the bacteria Escherichia coli and Thermotoga maritima prefer putrescine but are more tolerant toward other amine acceptors, such as spermidine and cadaverine. Cf. EC 2.5.1.22 and EC 2.5.1.23.	aminopropyltransferase. putrescine aminopropyltransferase.
330	5.4.99.5	Isomerases.	Intramolecular transferases.	Transferring other groups.	chorismate mutase.		hydroxyphenylpyruvate synthase.
331	1.18.1.2	Oxidoreductases.	Acting on iron-sulfur proteins as donors.	With NAD(+) or NADP(+) as acceptor.	ferredoxin--NADP(+) reductase.	In chloroplasts and cyanobacteria the enzyme acts on plant-type [2Fe- 2S] ferredoxins, but in other bacteria it can also reduce bacterial 2[4Fe-4S] ferredoxins and flavodoxin. Formerly EC 1.6.7.1 and EC 1.6.99.4.	
332	2.4.2.30	Transferases.	Glycosyltransferases.	Pentosyltransferases.	NAD(+) ADP-ribosyltransferase.	The ADP-D-ribosyl group of NAD(+) is transferred to an acceptor carboxy group on a histone or the enzyme itself, and further ADP- ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units.	ADP-ribosyltransferase (polymerizing). poly(adenosine diphosphate ribose) polymerase. poly(ADP-ribose)polymerase. poly(ADP-ribose) synthetase.
333	2.3.2.13	Transferases.	Acyltransferases.	Aminoacyltransferases.	protein-glutamine gamma-glutamyltransferase.	The gamma-carboxymide groups of peptide-bound glutamine residues act as acyl donors, and the 6-amino-groups of protein- and peptide-bound lysine residues act as acceptors, to give intra- and inter-molecular N(6)-(5-glutamyl)lysine cross-links.	fibrinoligase. glutaminylpeptide gamma-glutamyltransferase. polyamine transglutaminase. TGase. transglutaminase.
334	3.1.1.29	Hydrolases.	Acting on ester bonds.	Carboxylic ester hydrolases.	aminoacyl-tRNA hydrolase.		peptidyl-tRNA hydrolase.
335	3.4.21.42	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	complement subcomponent C1s.	Activated from proenzyme C1s in plasma by the activated complement subcomponent C1r. Belongs to peptidase family S1.	C1s esterase.
336	3.2.1.96	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase.		di-N-acetylchitobiosyl beta-N-acetylglucosaminidase. endo-beta-N-acetylglucosaminidase.
337	2.7.7.7	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	DNA-directed DNA polymerase.	Catalyzes DNA-template-directed extension of the 3'-end of a DNA strand by one nucleotide at a time. Cannot initiate a chain de novo. Requires a primer which may be DNA or RNA. See also EC 2.7.7.49.	DNA-dependent DNA polymerase. DNA nucleotidyltransferase (DNA-directed).
338	3.5.1.98	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amides.	histone deacetylase.	A class of enzymes that remove acetyl groups from N(6)-acetyl-lysine residues on a histone. The reaction of this enzyme is opposite to that of EC 2.3.1.48. Histone deacetylases (HDACs) can be organized into three classes depending on sequence similarity and domain organization. Histone acetylation plays an important role in regulation of gene expression. In eukaryotes, HDACs play a key role in the regulation of transcription and cell proliferation. May be identical to EC 3.5.1.17.	HDAC.
339	2.4.1.25	Transferases.	Glycosyltransferases.	Hexosyltransferases.	4-alpha-glucanotransferase.	An enzymic activity of this nature forms part of the mammalian and Saccharomyces cerevisiae glycogen branching system (see EC 3.2.1.33). Formerly EC 2.4.1.3.	D-enzyme. dextrin glycosyltransferase. disproportionating enzyme. oligo-1,4-1,4-glucantransferase.
340	4.6.1.12	Lyases.	Phosphorus-oxygen lyases.	Phosphorus-oxygen lyases.	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase.	Forms part of an alternative nonmevalonate pathway for terpenoid biosynthesis.	MECDP-synthase.
341	4.2.1.59	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	3-hydroxyacyl-[acyl-carrier-protein] dehydratase.	This enzyme is responsible for the dehydration step of the dissociated (type II) fatty-acid biosynthesis system that occurs in plants and bacteria. The enzyme uses fatty acyl thioesters of ACP in vivo. Different forms of the enzyme may have preferences for substrates with different chain length. For example, the activity of FabZ, the ubiquitous enzyme in bacteria, decreases with increasing chain length. Gram-negative bacteria that produce unsaturated fatty acids, such as Escherichia coli, have another form (FabA) that prefers intermediate chain length, and also catalyzes EC 5.3.3.14. Despite the differences both forms can catalyze all steps leading to the synthesis of palmitate (C16:0). FabZ, but not FabA, can also accept unsaturated substrates. Formerly EC 4.2.1.58, EC 4.2.1.60 and EC 4.2.1.61.	(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase. 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase. beta-hydroxyoctanoyl-ACP-dehydrase. beta-hydroxyoctanoyl-acyl carrier protein dehydrase. beta-hydroxyoctanoyl thioester dehydratase. D-3-hydroxyoctanoyl-[acyl carrier protein] dehydratase.
342	1.14.14.1	Oxidoreductases.	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.	With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen.	unspecific monooxygenase.	Acts on a wide range of substrates including many xenobiotics, steroids, fatty acids, vitamins and prostaglandins; reactions catalyzed include hydroxylation, epoxidation, N-oxidation, sulfooxidation, N-, S- and O-dealkylations, desulfation, deamination, and reduction of azo, nitro and N-oxide groups. Together with EC 1.6.2.4, it forms a system in which two reducing equivalents are supplied by NADPH. Some of the reactions attributed to EC 1.14.15.3 belong here. Formerly EC 1.14.1.1, EC 1.14.14.2, EC 1.14.99.8 and EC 1.99.1.1.	aryl-4-monooxygenase. aryl hydrocarbon hydroxylase. cytochrome P450. flavoprotein-linked monooxygenase. microsomal monooxygenase. microsomal P450. xenobiotic monooxygenase.
343	1.11.1.6	Oxidoreductases.	Acting on a peroxide as acceptor.	Peroxidases.	catalase.	A manganese protein containing Mn(III) in the resting state, which also belongs here, is often called pseudocatalase. The enzymes from some organisms, such as Penicillium simplicissimum, can also act as a peroxidase (EC 1.11.1.7) for which several organic substances, especially ethanol, can act as a hydrogen donor. Enzymes that exhibit both catalase and peroxidase activity belong under EC 1.11.1.21.	
344	3.1.3.3	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	phosphoserine phosphatase.		
345	3.2.1.26	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	beta-fructofuranosidase.	Substrates include sucrose. Also catalyzes fructotransferase reactions.	beta-fructosidase. invertase. saccharase.
346	2.7.1.35	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	pyridoxal kinase.	Pyridoxine, pyridoxamine and various derivatives can also act as acceptors.	pyridoxamine kinase. pyridoxine kinase. vitamin B(6) kinase. vitamin B6 kinase.
347	6.3.2.1	Ligases.	Forming carbon-nitrogen bonds.	Acid--amino-acid ligases (peptide synthases).	pantoate--beta-alanine ligase (AMP-forming).		pantoate-activating enzyme. pantoic-activating enzyme. pantothenate synthetase.
348	3.4.13.9	Hydrolases.	Acting on peptide bonds (peptidases).	Dipeptidases.	Xaa-Pro dipeptidase.	Possibly thiol dependent. Cytosolic from most animal tissues. Belongs to peptidase family M24A. Formerly EC 3.4.3.7.	gamma-peptidase. imidodipeptidase. peptidase D. prolidase. proline dipeptidase. X-Pro dipeptidase.
349	5.1.3.2	Isomerases.	Racemases and epimerases.	Acting on carbohydrates and derivatives.	UDP-glucose 4-epimerase.	Also acts on UDP-2-deoxyglucose.	galactowaldenase. UDP-galactose 4-epimerase. uridine diphosphate galactose 4-epimerase. uridine diphospho-galactose-4-epimerase.
350	3.4.21.5	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	thrombin.	More selective than trypsin and plasmin. Belongs to peptidase family S1. Formerly EC 3.4.4.13.	fibrinogenase.
351	3.2.1.17	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	lysozyme.	Cf. EC 3.2.1.14.	muramidase.
352	2.7.1.40	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	pyruvate kinase.	UTP, GTP, CTP, ITP and dATP can also act as donors. Also phosphorylates hydroxylamine and fluoride in the presence of CO2.	phosphoenolpyruvate kinase. phosphoenol transphosphorylase.
353	3.6.4.13	Hydrolases.	Acting on acid anhydrides.	Acting on ATP; involved in cellular and subcellular movement.	RNA helicase.	RNA helicases utilize the energy from ATP hydrolysis to unwind RNA. Some of them unwind RNA with a 3' to 5' polarity, other show 5' to 3' polarity. Some helicases unwind DNA as well as RNA. May be identical with EC 3.6.4.12 (DNA helicase).	
354	1.8.3.2	Oxidoreductases.	Acting on a sulfur group of donors.	With oxygen as acceptor.	thiol oxidase.	R may be =S or =O, or a variety of other groups. The enzyme is not specific for R'.	sulfhydryl oxidase.
355	1.17.1.8	Oxidoreductases.	Acting on CH or CH2 groups.	With NAD(+) or NADP(+) as acceptor.	4-hydroxy-tetrahydrodipicolinate reductase.	The substrate of the enzyme was initially thought to be (S)-2,3- dihydrodipicolinate, and the enzyme was classified accordingly as EC 1.3.1.26. Later studies of the enzyme from the bacterium Escherichia coli have suggested that the actual substrate of the enzyme is (2S,4S)-4- hydroxy-2,3,4,5-tetrahydrodipicolinate, and that its activity includes a dehydration step, and thus the enzyme has been reclassified as 4-hydroxy-tetrahydrodipicolinate reductase. However, the identity of the substrate is still controversial, as more recently it has been suggested that it may be (S)-2,3- dihydrodipicolinate after all. Formerly EC 1.3.1.26.	dihydrodipicolinate reductase.
356	3.1.3.1	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	alkaline phosphatase.	Active at a high pH optimum. Wide specificity. Also catalyzes transphosphorylations. Some enzymes hydrolyze diphosphate (cf. EC 3.6.1.1).	alkaline phosphomonoesterase. glycerophosphatase. phosphomonoesterase.
357	2.7.11.1	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	non-specific serine/threonine protein kinase.	This is a heterogeneous group of serine/threonine protein kinases that do not have an activating compound and are either non-specific or their specificity has not been analyzed to date. Formerly EC 2.7.1.37 and EC 2.7.1.70.	protein phosphokinase. protein serine kinase. protein-serine kinase. protein serine-threonine kinase. serine/threonine protein kinase. serine(threonine) protein kinase. serine kinase. serine protein kinase. serine-specific protein kinase. threonine-specific protein kinase.
358	3.1.3.5	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	5'-nucleotidase.	Wide specificity for 5'-nucleotides.	
359	2.3.1.286	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	protein acetyllysine N-acetyltransferase.	The enzyme, found in all domains of life, is involved in gene regulation by deacetylating proteins. Some of the 2''-O-acetyl-ADP-D-ribose converts non-enzymically to 3''-O-acetyl-ADP-D-ribose.	NAD(+)-dependent protein deacetylase. protein lysine deacetylase.
360	2.1.1.72	Transferases.	Transferring one-carbon groups.	Methyltransferases.	site-specific DNA-methyltransferase (adenine-specific).	This is a large group of enzymes, most of which form so-called 'restriction-modification systems', with nucleases that possess similar site specificity (the nucleases are listed as either EC 3.1.21.3, EC 3.1.21.4 and EC 3.1.21.5). See the REBASE database for a complete list of these enzymes: http://rebase.neb.com/rebase/	modification methylase. N-6 adenine-specific DNA methylase. restriction-modification system.
361	2.4.2.8	Transferases.	Glycosyltransferases.	Pentosyltransferases.	hypoxanthine phosphoribosyltransferase.	Guanine and purine-6-thiol can replace hypoxanthine.	guanine phosphoribosyltransferase. HGPRTase. hypoxanthine-guanine phosphoribosyltransferase. IMP diphosphorylase. IMP pyrophosphorylase. transphosphoribosidase.
362	3.6.1.9	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	nucleotide diphosphatase.	The enzyme preferentially hydrolyzes ATP, but can also hydrolyze other nucleoside 5' triphosphates such as GTP, CTP, TTP and UTP to their corresponding monophosphates. In vitro the enzyme also acts as a nucleotidohydrolase on ADP, NAD(+), NADP(+), FAD, and CoA. Formerly EC 3.6.1.19.	dinucleotide nucleotidohydrolase. nucleoside-triphosphate diphosphatase. nucleotide pyrophosphatase.
363	6.3.1.20	Ligases.	Forming carbon-nitrogen bonds.	Acid--ammonia (or amine) ligases (amide synthases).	lipoate--protein ligase.	This enzyme participates in lipoate salvage, and is responsible for lipoylation in the presence of exogenous lipoic acid. The enzyme attaches lipoic acid to the lipoyl domains of certain key enzymes involved in oxidative metabolism, including pyruvate dehydrogenase (E2 domain), 2-oxoglutarate dehydrogenase (E2 domain), the branched-chain 2-oxoacid dehydrogenases and the glycine cleavage system (H protein). Lipoylation is essential for the function of these enzymes. The enzyme can also use octanoate instead of lipoate. Formerly EC 2.7.7.63.	lipoate protein ligase. lipoate-protein ligase A. LPL.
364	2.1.3.3	Transferases.	Transferring one-carbon groups.	and carbamoyltransferases.	ornithine carbamoyltransferase.	The plant enzyme also catalyzes the reactions of EC 2.1.3.6, EC 2.7.2.2 and EC 3.5.3.12, thus acting as putrescine synthase, converting agmatine and ornithine into putrescine and citrulline respectively.	citrulline phosphorylase. ornithine transcarbamylase. OTC. OTCase.
365	3.5.1.88	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amides.	peptide deformylase.	Requires Fe(II). Also requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions. Differs in substrate specificity from EC 3.5.1.31.	PDF. polypeptide deformylase.
366	3.6.1.3	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	Deleted entry.		
367	3.4.21.6	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	coagulation factor Xa.	A blood coagulation factor formed from the proenzyme factor X by limited proteolysis. Factor X is a glycoprotein composed of a heavy chain and a light chain, which are generated from a precursor protein by the excision of the tripeptide RKR and held together by one or more disulfide bonds. The activated factor Xa converts prothrombin to thrombin in the presence of factor Va, Ca(2+) and phospholipids. Scutelarin (EC 3.4.21.60) has similar specificity, but does not require factor Va. Belongs to peptidase family S1.	prothrombase. prothrombinase. Stuart factor. thrombokinase.
368	3.1.11.2	Hydrolases.	Acting on ester bonds.	Exodeoxyribonucleases producing 5'-phosphomonoesters.	exodeoxyribonuclease III.	Preference for double-stranded DNA. Has endonucleolytic activity near apurinic sites on DNA. Similar enzyme: Haemophilus influenzae exonuclease. Formerly EC 3.1.4.27.	E.coli exonuclease III. exonuclease III.
369	1.11.1.15	Oxidoreductases.	Acting on a peroxide as acceptor.	Peroxidases.	Transferred entry: 1.11.1.24, 1.11.1.25, 1.11.1.26, 1.11.1.27, 1.11.1.28and 1.11.1.29.		
370	1.11.1.9	Oxidoreductases.	Acting on a peroxide as acceptor.	Peroxidases.	glutathione peroxidase.	Steroid and lipid hydroperoxides, but not the product of reaction of EC 1.13.11.12 on phospholipids, can act as acceptor, but more slowly than H2O2 (cf. EC 1.11.1.12).	
371	3.2.1.39	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	glucan endo-1,3-beta-D-glucosidase.	Very limited action on mixed-link (1->3,1->4)-beta-D-glucans. Hydrolyzes laminarin, paramylon and pachyman. Different from EC 3.2.1.6.	(1->3)-beta-glucan endohydrolase. endo-1,3-beta-glucanase. laminarinase.
372	3.6.1.23	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	dUTP diphosphatase.		deoxyuridine-triphosphatase. desoxyuridine 5'-triphosphatase. desoxyuridine 5'-triphosphate nucleotidohydrolase. dUTPase. dUTP pyrophosphatase.
373	2.3.1.39	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	[acyl-carrier-protein] S-malonyltransferase.	Essential, along with EC 2.3.1.38, for the initiation of fatty-acid biosynthesis in bacteria. Also provides the malonyl groups for polyketide biosynthesis. The product of the reaction, malonyl-ACP, is an elongation substrate in fatty-acid biosynthesis. In Mycobacterium tuberculosis, holo-ACP (the product of EC 2.7.8.7) is the preferred substrate. This enzyme also forms part of the multienzyme complexes EC 4.1.1.88 and EC 4.1.1.89. Malonylation of ACP is immediately followed by decarboxylation within the malonate-decarboxylase complex to yield acetyl-ACP, the catalytically active species of the decarboxylase. In the enzyme from Klebsiella pneumoniae, methylmalonyl-CoA can also act as a substrate but acetyl-CoA cannot whereas the enzyme from Pseudomonas putida can use both as substrates. The ACP subunit found in fatty-acid biosynthesis contains a pantetheine-4'-phosphate prosthetic group; that from malonate decarboxylase also contains pantetheine-4'-phosphate but in the form of a 2'-(5-triphosphoribosyl)-3'-dephospho-CoA prosthetic group.	acyl carrier protein malonyltransferase. malonyl-CoA/dephospho-CoA acyltransferase. malonyl-CoA-acyl carrier protein transacylase. malonyl coenzyme A-acyl carrier protein transacylase. malonyl transacylase. malonyl transferase. MCAT.
374	6.1.1.11	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	serine--tRNA ligase.	This enzyme also recognizes tRNA(Sec), the special tRNA for selenocysteine, and catalyzes the formation of L-seryl-tRNA(Sec), the substrate for EC 2.9.1.1.	serine translase. SerRS. seryl-transfer ribonucleate synthetase. seryl-transfer ribonucleic acid synthetase. seryl-transfer RNA synthetase. seryl-tRNA synthetase.
375	2.7.1.69	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	Transferred entry: 2.7.1.191, 2.7.1.192, 2.7.1.193, 2.7.1.194, 2.7.1.195,2.7.1.196, 2.7.1.197, 2.7.1.198, 2.7.1.199, 2.7.1.200, 2.7.1.201,2.7.1.202, 2.7.1.203, 2.7.1.204, 2.7.1.205, 2.7.1.206, 2.7.1.207 and2.7.1.208.		
376	3.1.3.2	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	acid phosphatase.	Wide specificity. Also catalyzes transphosphorylations.	acid phosphomonoesterase. glycerophosphatase. phosphomonoesterase.
377	2.3.1.12	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	dihydrolipoyllysine-residue acetyltransferase.	A multimer (24-mer or 60-mer, depending on the source) of this enzyme forms the core of the pyruvate dehydrogenase multienzyme complex, and binds tightly both EC 1.2.4.1 and EC 1.8.1.4. The lipoyl group of this enzyme is reductively acetylated by EC 1.2.4.1, and the only observed direction catalyzed by EC 2.3.1.12 is that where the acetyl group is passed to coenzyme A.	acetyl-CoA:dihydrolipoamide S-acetyltransferase. dihydrolipoamide S-acetyltransferase. dihydrolipoate acetyltransferase. dihydrolipoic transacetylase. dihydrolipoyl acetyltransferase. lipoate acetyltransferase. lipoate transacetylase. lipoic acetyltransferase. lipoic acid acetyltransferase. lipoic transacetylase. lipoylacetyltransferase. thioltransacetylase A. transacetylase X.
378	3.1.4.35	Hydrolases.	Acting on ester bonds.	Phosphoric diester hydrolases.	3',5'-cyclic-GMP phosphodiesterase.		
379	1.16.3.2	Oxidoreductases.	Oxidizing metal ions.	With oxygen as acceptor.	bacterial non-heme ferritin.	Ferritins are intracellular iron-storage and detoxification proteins found in all kingdoms of life. They are formed from two subunits that coassemble in various ratios to form a spherical protein shell. Thousands of mineralized iron atoms are stored within the core of the structure. The product of dioxygen reduction by the bacterial non-heme ferritin is hydrogen peroxide, which is consumed in a subsequent reaction.	
380	1.2.1.3	Oxidoreductases.	Acting on the aldehyde or oxo group of donors.	With NAD(+) or NADP(+) as acceptor.	aldehyde dehydrogenase (NAD(+)).	Wide specificity, including oxidation of D-glucuronolactone to D-glucarate. Formerly EC 1.1.1.70.	
381	3.2.1.91	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	cellulose 1,4-beta-cellobiosidase (non-reducing end).		1,4-beta-cellobiohydrolase. 4-beta-D-glucan cellobiohydrolase (non-reducing end). avicelase. exo-1,4-beta-D-glucanase. exocellobiohydrolase. exoglucanase.
382	3.5.1.1	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amides.	asparaginase.		L-asparaginase. L-asparagine amidohydrolase.
383	2.7.7.8	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	polyribonucleotide nucleotidyltransferase.	ADP, IDP, GDP, UDP and CDP can act as donors.	polynucleotide phosphorylase.
